study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	study_title	fastq_md5	fastq_ftp	fastq_aspera	submitted_ftp	sra_ftp	sample_alias
PRJNA375065	SAMN06344385	SRX2577174	SRR5273160	408170	human gut metagenome	Microbiota in Anorexia Nervosa	c0554a54422e155ada5573d8afbd02d8;3ba8d68be0d8f078f0ad951fecc3e2ff	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/000/SRR5273160/SRR5273160_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/000/SRR5273160/SRR5273160_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/000/SRR5273160/SRR5273160_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/000/SRR5273160/SRR5273160_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR527/000/SRR5273160	CTR5
PRJNA375065	SAMN06344384	SRX2577175	SRR5273161	408170	human gut metagenome	Microbiota in Anorexia Nervosa	3f15cf434847712563bfba567523ae35;01cfab74da505a6405ade6f4e426afcc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/001/SRR5273161/SRR5273161_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/001/SRR5273161/SRR5273161_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/001/SRR5273161/SRR5273161_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/001/SRR5273161/SRR5273161_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR527/001/SRR5273161	CTR4
PRJNA375065	SAMN06344383	SRX2577176	SRR5273162	408170	human gut metagenome	Microbiota in Anorexia Nervosa	44518ee07850d7102bf532065d3ee94c;acc72ae1aa1786cf3accd16412b9af55	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/002/SRR5273162/SRR5273162_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/002/SRR5273162/SRR5273162_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/002/SRR5273162/SRR5273162_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/002/SRR5273162/SRR5273162_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR527/002/SRR5273162	CTR3
PRJNA375065	SAMN06344382	SRX2577177	SRR5273163	408170	human gut metagenome	Microbiota in Anorexia Nervosa	98856551d5f73bef00d03b8ea4aaeae7;545b00f55887bbed4d5def14a3cfe7b1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/003/SRR5273163/SRR5273163_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/003/SRR5273163/SRR5273163_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/003/SRR5273163/SRR5273163_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/003/SRR5273163/SRR5273163_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR527/003/SRR5273163	CTR2
PRJNA375065	SAMN06344381	SRX2577178	SRR5273164	408170	human gut metagenome	Microbiota in Anorexia Nervosa	e8dba5841e76fc5c671b38ccba097fac;d4c8947cb92d9b564ae52dafcec2b51a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/004/SRR5273164/SRR5273164_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/004/SRR5273164/SRR5273164_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/004/SRR5273164/SRR5273164_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/004/SRR5273164/SRR5273164_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR527/004/SRR5273164	CTR1
PRJNA375065	SAMN06344380	SRX2577179	SRR5273165	408170	human gut metagenome	Microbiota in Anorexia Nervosa	e8629662055b2067fecace2613a0f8f3;f449cf37027fa799cc65d0aa3b606a65	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/005/SRR5273165/SRR5273165_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/005/SRR5273165/SRR5273165_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/005/SRR5273165/SRR5273165_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/005/SRR5273165/SRR5273165_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR527/005/SRR5273165	AN15
PRJNA375065	SAMN06344379	SRX2577180	SRR5273166	408170	human gut metagenome	Microbiota in Anorexia Nervosa	fd3df3b9614a84323d3bbfad6f7e5827;7205910f1e417a8805d0c2bab3d90ea2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/006/SRR5273166/SRR5273166_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/006/SRR5273166/SRR5273166_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/006/SRR5273166/SRR5273166_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/006/SRR5273166/SRR5273166_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR527/006/SRR5273166	AN14
PRJNA375065	SAMN06344378	SRX2577181	SRR5273167	408170	human gut metagenome	Microbiota in Anorexia Nervosa	b42a8712ffd11c6b2c8bbf38633467e7;fef38dedf979d6e7f7f300e318451262	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/007/SRR5273167/SRR5273167_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/007/SRR5273167/SRR5273167_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/007/SRR5273167/SRR5273167_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/007/SRR5273167/SRR5273167_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR527/007/SRR5273167	AN13
PRJNA375065	SAMN06344377	SRX2577182	SRR5273168	408170	human gut metagenome	Microbiota in Anorexia Nervosa	4e856481adb7c7b6a30f92cc54480a23;d03b1297030e14635da8024eac10e527	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/008/SRR5273168/SRR5273168_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/008/SRR5273168/SRR5273168_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/008/SRR5273168/SRR5273168_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/008/SRR5273168/SRR5273168_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR527/008/SRR5273168	AN12
PRJNA375065	SAMN06344376	SRX2577183	SRR5273169	408170	human gut metagenome	Microbiota in Anorexia Nervosa	71e3cfd282d101eebe54606af7f67d67;f825640f1f89876e77a8d784bc73cf61	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/009/SRR5273169/SRR5273169_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/009/SRR5273169/SRR5273169_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/009/SRR5273169/SRR5273169_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/009/SRR5273169/SRR5273169_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR527/009/SRR5273169	AN11
PRJNA375065	SAMN06344375	SRX2577184	SRR5273170	408170	human gut metagenome	Microbiota in Anorexia Nervosa	999b2389ebd57bc0661387b0c620a0cc;d795f81ad6d7d6549a6506845d4ad32b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/000/SRR5273170/SRR5273170_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/000/SRR5273170/SRR5273170_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/000/SRR5273170/SRR5273170_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/000/SRR5273170/SRR5273170_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR527/000/SRR5273170	AN10
PRJNA375065	SAMN06344374	SRX2577185	SRR5273171	408170	human gut metagenome	Microbiota in Anorexia Nervosa	bf6422e7510eade2d567415e196e60b2;4dc818d8058be0c24bc6d32d58981a6a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/001/SRR5273171/SRR5273171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/001/SRR5273171/SRR5273171_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/001/SRR5273171/SRR5273171_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/001/SRR5273171/SRR5273171_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR527/001/SRR5273171	AN9
PRJNA375065	SAMN06344373	SRX2577186	SRR5273172	408170	human gut metagenome	Microbiota in Anorexia Nervosa	b7985c1e9eb9875c2553b44061300820;104c5883310fa3ab230a32059e49860f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/002/SRR5273172/SRR5273172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/002/SRR5273172/SRR5273172_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/002/SRR5273172/SRR5273172_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/002/SRR5273172/SRR5273172_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR527/002/SRR5273172	AN8
PRJNA375065	SAMN06344372	SRX2577187	SRR5273173	408170	human gut metagenome	Microbiota in Anorexia Nervosa	79d6746ab8cb9a37cf8ef2641d40c712;5dd2b61f74d2b4a1c5738f4ceab0b2d2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/003/SRR5273173/SRR5273173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/003/SRR5273173/SRR5273173_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/003/SRR5273173/SRR5273173_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/003/SRR5273173/SRR5273173_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR527/003/SRR5273173	AN7
PRJNA375065	SAMN06344371	SRX2577188	SRR5273174	408170	human gut metagenome	Microbiota in Anorexia Nervosa	25023dab51860d8407b0082b42648a0a;826bd10f558a03b4d15e5942e75f30a0	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/004/SRR5273174/SRR5273174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/004/SRR5273174/SRR5273174_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/004/SRR5273174/SRR5273174_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/004/SRR5273174/SRR5273174_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR527/004/SRR5273174	AN6
PRJNA375065	SAMN06344370	SRX2577189	SRR5273175	408170	human gut metagenome	Microbiota in Anorexia Nervosa	8f0a4cc1d02e7d5fb406a4952192ab71;bf67aea8037238a3179abaf06b93e32b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/005/SRR5273175/SRR5273175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/005/SRR5273175/SRR5273175_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/005/SRR5273175/SRR5273175_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/005/SRR5273175/SRR5273175_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR527/005/SRR5273175	AN5
PRJNA375065	SAMN06344369	SRX2577190	SRR5273176	408170	human gut metagenome	Microbiota in Anorexia Nervosa	05496cfe5d94a63cb6e762b65d7dea39;471c6eae2929e0ad3d8a6530ed8db6f2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/006/SRR5273176/SRR5273176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/006/SRR5273176/SRR5273176_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/006/SRR5273176/SRR5273176_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/006/SRR5273176/SRR5273176_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR527/006/SRR5273176	AN4
PRJNA375065	SAMN06344368	SRX2577191	SRR5273177	408170	human gut metagenome	Microbiota in Anorexia Nervosa	586d65cb39486ca33c0fc118b82d074d;7091cdc681351600b2c6ffd15bb0ef89	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/007/SRR5273177/SRR5273177_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/007/SRR5273177/SRR5273177_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/007/SRR5273177/SRR5273177_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/007/SRR5273177/SRR5273177_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR527/007/SRR5273177	AN3
PRJNA375065	SAMN06344367	SRX2577192	SRR5273178	408170	human gut metagenome	Microbiota in Anorexia Nervosa	c8dd338f5c59d761d38dbaccc9b7e0be;820e27aaca13ee9cf892a64986183a6e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/008/SRR5273178/SRR5273178_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/008/SRR5273178/SRR5273178_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/008/SRR5273178/SRR5273178_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/008/SRR5273178/SRR5273178_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR527/008/SRR5273178	AN2
PRJNA375065	SAMN06344366	SRX2577193	SRR5273179	408170	human gut metagenome	Microbiota in Anorexia Nervosa	f7cc5f787cd97a4c3da9faac98d47a90;f6804070bf7a9d8a6f75ab1f4618953f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/009/SRR5273179/SRR5273179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR527/009/SRR5273179/SRR5273179_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/009/SRR5273179/SRR5273179_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR527/009/SRR5273179/SRR5273179_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR527/009/SRR5273179	AN1
